id	article	law_id
1309	6	1426
1310	7	1426
1311	27	1426
1312	28	1426
1313	73	1426
1314	78	1426
1315	94	1426
1316	105	1426
1317	6	1456
1318	97	1452
1319	61	1460
1320	86	1459
1321	87	1459
1322	112	1430
1323	28	1426
1324	7	1430
1325	16	1430
1326	45	1430
1327	1	1433
1328	7	1433
1329	8	1433
1330	12	1433
1331	6	1426
1332	7	1426
1333	27	1426
1334	28	1426
1335	73	1426
1336	78	1426
1337	94	1426
1338	105	1426
1339	97	1452
1340	112	1430
1341	28	1426
1342	7	1430
1343	16	1430
1344	45	1430
1345	1	1433
1346	7	1433
1347	8	1433
1348	12	1433
1349	21	1529
1350	16	1528
1351	28	1426
1352	7	1430
1353	16	1430
1354	45	1430
1355	1	1433
1356	7	1433
1357	8	1433
1358	12	1433
1359	6	1426
1360	7	1426
1361	27	1426
1362	28	1426
1363	73	1426
1364	78	1426
1365	94	1426
1366	105	1426
1367	97	1452
1368	6	1456
1369	97	1452
1370	28	1426
1371	7	1430
1372	16	1430
1373	45	1430
1374	1	1433
1375	7	1433
1376	8	1433
1377	12	1433
1378	6	1426
1379	7	1426
1380	27	1426
1381	28	1426
1382	73	1426
1383	78	1426
1384	94	1426
1385	105	1426
1386	6	1426
1387	7	1426
1388	27	1426
1389	28	1426
1390	73	1426
1391	78	1426
1392	94	1426
1393	105	1426
1394	16	1583
1395	3	1640
1396	6	1640
1397	7	1640
1398	8	1640
1399	13	1640
1400	16	1640
1401	17	1640
1402	6	1426
1403	7	1426
1404	27	1426
1405	28	1426
1406	73	1426
1407	78	1426
1408	94	1426
1409	105	1426
1410	28	1426
1411	7	1430
1412	16	1430
1413	45	1430
1414	1	1433
1415	7	1433
1416	8	1433
1417	12	1433
1418	6	1426
1419	7	1426
1420	27	1426
1421	28	1426
1422	73	1426
1423	78	1426
1424	94	1426
1425	105	1426
1426	6	1426
1427	7	1426
1428	27	1426
1429	28	1426
1430	73	1426
1431	78	1426
1432	94	1426
1433	105	1426
1434	28	1426
1435	7	1430
1436	16	1430
1437	45	1430
1438	1	1433
1439	7	1433
1440	8	1433
1441	12	1433
1442	6	1426
1443	7	1426
1444	27	1426
1445	28	1426
1446	73	1426
1447	78	1426
1448	94	1426
1449	105	1426
1450	66	1430
1451	112	1430
1452	28	1426
1453	7	1430
1454	16	1430
1455	45	1430
1456	1	1433
1457	7	1433
1458	8	1433
1459	12	1433
1460	6	1426
1461	7	1426
1462	27	1426
1463	28	1426
1464	73	1426
1465	78	1426
1466	94	1426
1467	105	1426
1468	97	1452
1469	112	1430
1470	28	1426
1471	7	1430
1472	16	1430
1473	45	1430
1474	1	1433
1475	7	1433
1476	8	1433
1477	12	1433
1478	42	1508
1479	17	1783
1480	36	1783
1481	9	1785
1482	2	1786
1483	4	1786
1484	22	1786
1485	42	1791
1486	42	1793
1487	197	1827
1488	203	1827
1489	8	1786
1490	9	1786
1491	2	1862
1492	16	1786
1493	2	1786
1494	15	1786
1495	16	1786
1496	17	1786
1497	16	1786
1498	17	1786
1499	16	1786
1500	17	1786
1501	16	1786
1502	17	1786
1503	17	1786
1504	15	1786
1505	2	1786
1506	2	1786
1507	19	1786
1508	31	1786
1509	9	1964
1510	15	1785
1511	6	1426
1512	7	1426
1513	27	1426
1514	28	1426
1515	73	1426
1516	78	1426
1517	94	1426
1518	105	1426
1519	28	1426
1520	7	1430
1521	16	1430
1522	45	1430
1523	1	1433
1524	7	1433
1525	8	1433
1526	12	1433
1527	6	1426
1528	7	1426
1529	27	1426
1530	28	1426
1531	73	1426
1532	78	1426
1533	94	1426
1534	105	1426
1535	28	1426
1536	7	1430
1537	16	1430
1538	45	1430
1539	1	1433
1540	7	1433
1541	8	1433
1542	12	1433
1543	6	1426
1544	7	1426
1545	27	1426
1546	28	1426
1547	73	1426
1548	78	1426
1549	94	1426
1550	105	1426
1551	1	1713
1552	112	1430
1553	28	1426
1554	7	1430
1555	16	1430
1556	45	1430
1557	1	1433
1558	7	1433
1559	8	1433
1560	12	1433
1561	6	1426
1562	7	1426
1563	27	1426
1564	28	1426
1565	73	1426
1566	78	1426
1567	94	1426
1568	105	1426
1569	158	1430
1570	32	1434
1571	28	1426
1572	7	1430
1573	16	1430
1574	45	1430
1575	1	1433
1576	7	1433
1577	8	1433
1578	12	1433
1579	106	2075
1580	107	2075
1581	111	2075
1582	116	2077
1583	28	1426
1584	7	1430
1585	16	1430
1586	45	1430
1587	1	1433
1588	7	1433
1589	8	1433
1590	12	1433
1591	28	1426
1592	28	1426
1593	7	1430
1594	16	1430
1595	45	1430
1596	1	1433
1597	7	1433
1598	8	1433
1599	12	1433
1600	6	1426
1601	7	1426
1602	27	1426
1603	28	1426
1604	73	1426
1605	78	1426
1606	94	1426
1607	105	1426
1608	97	1452
1609	6	1456
1610	97	1452
1611	28	1426
1612	7	1430
1613	16	1430
1614	45	1430
1615	1	1433
1616	7	1433
1617	8	1433
1618	12	1433
1619	8	2131
1620	28	1426
1621	7	1430
1622	16	1430
1623	45	1430
1624	1	1433
1625	7	1433
1626	8	1433
1627	12	1433
1628	6	1426
1629	7	1426
1630	27	1426
1631	28	1426
1632	73	1426
1633	78	1426
1634	94	1426
1635	105	1426
1636	28	1426
1637	7	1430
1638	16	1430
1639	45	1430
1640	1	1433
1641	7	1433
1642	8	1433
1643	12	1433
1644	13	1508
1645	6	1426
1646	7	1426
1647	27	1426
1648	28	1426
1649	73	1426
1650	78	1426
1651	94	1426
1652	105	1426
1653	6	1426
1654	7	1426
1655	27	1426
1656	28	1426
1657	73	1426
1658	78	1426
1659	94	1426
1660	105	1426
1661	3	1640
1662	6	1640
1663	7	1640
1664	8	1640
1665	13	1640
1666	16	1640
1667	17	1640
1668	6	1426
1669	7	1426
1670	27	1426
1671	28	1426
1672	73	1426
1673	78	1426
1674	94	1426
1675	105	1426
1676	28	1426
1677	7	1430
1678	16	1430
1679	45	1430
1680	1	1433
1681	7	1433
1682	8	1433
1683	12	1433
1684	6	1426
1685	7	1426
1686	27	1426
1687	28	1426
1688	73	1426
1689	78	1426
1690	94	1426
1691	105	1426
1692	51	1430
1693	3	1456
1694	10	1538
1695	28	1426
1696	7	1430
1697	16	1430
1698	45	1430
1699	1	1433
1700	7	1433
1701	8	1433
1702	12	1433
1703	6	1426
1704	7	1426
1705	27	1426
1706	28	1426
1707	73	1426
1708	78	1426
1709	94	1426
1710	105	1426
1711	113	2242
1712	94	1452
1713	28	1426
1714	7	1430
1715	16	1430
1716	45	1430
1717	1	1433
1718	7	1433
1719	8	1433
1720	12	1433
1721	27	1426
1722	28	1426
1723	134	1426
1724	17	1583
1725	6	1426
1726	7	1426
1727	27	1426
1728	28	1426
1729	73	1426
1730	78	1426
1731	94	1426
1732	105	1426
1733	28	1426
1734	7	1430
1735	16	1430
1736	45	1430
1737	1	1433
1738	7	1433
1739	8	1433
1740	12	1433
1741	6	1426
1742	7	1426
1743	27	1426
1744	28	1426
1745	73	1426
1746	78	1426
1747	94	1426
1748	105	1426
1749	97	1452
1750	97	1452
1751	9	2306
1752	9	2306
1753	9	2306
1754	6	1456
1755	97	1452
1756	28	1426
1757	7	1430
1758	16	1430
1759	45	1430
1760	1	1433
1761	7	1433
1762	8	1433
1763	12	1433
1764	6	1426
1765	7	1426
1766	27	1426
1767	28	1426
1768	73	1426
1769	78	1426
1770	94	1426
1771	105	1426
1772	27	1508
1773	27	1508
1774	27	1508
1775	27	1508
1776	112	1430
1777	28	1426
1778	7	1430
1779	16	1430
1780	45	1430
1781	1	1433
1782	7	1433
1783	8	1433
1784	12	1433
1785	6	1426
1786	7	1426
1787	27	1426
1788	28	1426
1789	73	1426
1790	78	1426
1791	94	1426
1792	105	1426
1793	9	2306
1794	9	2306
1795	9	2306
1796	6	1456
1797	97	1452
1798	28	1426
1799	7	1430
1800	16	1430
1801	45	1430
1802	1	1433
1803	7	1433
1804	8	1433
1805	12	1433
1806	6	1426
1807	7	1426
1808	27	1426
1809	28	1426
1810	73	1426
1811	78	1426
1812	94	1426
1813	105	1426
1814	97	1452
1815	112	1430
1816	28	1426
1817	7	1430
1818	16	1430
1819	45	1430
1820	1	1433
1821	7	1433
1822	8	1433
1823	12	1433
1824	6	1426
1825	7	1426
1826	27	1426
1827	28	1426
1828	73	1426
1829	78	1426
1830	94	1426
1831	105	1426
1832	94	1452
1833	28	1426
1834	7	1430
1835	16	1430
1836	45	1430
1837	1	1433
1838	7	1433
1839	8	1433
1840	12	1433
1841	6	1426
1842	7	1426
1843	27	1426
1844	28	1426
1845	73	1426
1846	78	1426
1847	94	1426
1848	105	1426
1849	94	1452
1850	28	1426
1851	7	1430
1852	16	1430
1853	45	1430
1854	1	1433
1855	7	1433
1856	8	1433
1857	12	1433
1858	6	1426
1859	7	1426
1860	27	1426
1861	28	1426
1862	73	1426
1863	78	1426
1864	94	1426
1865	105	1426
1866	28	1426
1867	7	1430
1868	16	1430
1869	45	1430
1870	1	1433
1871	7	1433
1872	8	1433
1873	12	1433
1874	28	1426
1875	7	1430
1876	16	1430
1877	45	1430
1878	1	1433
1879	7	1433
1880	8	1433
1881	12	1433
1882	45	1472
1883	312	1430
1884	313	1430
1885	17	2456
1886	103	1426
1887	107	1426
1888	28	1426
1889	7	1430
1890	16	1430
1891	45	1430
1892	1	1433
1893	7	1433
1894	8	1433
1895	12	1433
1896	6	1426
1897	7	1426
1898	27	1426
1899	28	1426
1900	73	1426
1901	78	1426
1902	94	1426
1903	105	1426
1904	112	1430
1905	28	1426
1906	7	1430
1907	16	1430
1908	45	1430
1909	1	1433
1910	7	1433
1911	8	1433
1912	12	1433
1913	6	1426
1914	7	1426
1915	27	1426
1916	28	1426
1917	73	1426
1918	78	1426
1919	94	1426
1920	105	1426
1921	112	1430
1922	28	1426
1923	7	1430
1924	16	1430
1925	45	1430
1926	1	1433
1927	7	1433
1928	8	1433
1929	12	1433
1930	51	1430
1931	28	1426
1932	28	2484
1933	28	1426
1934	7	1430
1935	16	1430
1936	45	1430
1937	1	1433
1938	7	1433
1939	8	1433
1940	12	1433
1941	3	1430
1942	6	1426
1943	7	1426
1944	27	1426
1945	28	1426
1946	73	1426
1947	78	1426
1948	94	1426
1949	105	1426
1950	28	1426
1951	7	1430
1952	16	1430
1953	45	1430
1954	1	1433
1955	7	1433
1956	8	1433
1957	12	1433
1958	6	1426
1959	7	1426
1960	27	1426
1961	28	1426
1962	73	1426
1963	78	1426
1964	94	1426
1965	105	1426
1966	51	1430
1967	3	1456
1968	10	1538
1969	28	1426
1970	7	1430
1971	16	1430
1972	45	1430
1973	1	1433
1974	7	1433
1975	8	1433
1976	12	1433
1977	6	1426
1978	7	1426
1979	27	1426
1980	28	1426
1981	73	1426
1982	78	1426
1983	94	1426
1984	105	1426
1985	112	1430
1986	28	1426
1987	7	1430
1988	16	1430
1989	45	1430
1990	1	1433
1991	7	1433
1992	8	1433
1993	12	1433
1994	6	1426
1995	7	1426
1996	27	1426
1997	28	1426
1998	73	1426
1999	78	1426
2000	94	1426
2001	105	1426
2002	28	1426
2003	7	1430
2004	16	1430
2005	45	1430
2006	1	1433
2007	7	1433
2008	8	1433
2009	12	1433
2010	6	1426
2011	7	1426
2012	27	1426
2013	28	1426
2014	73	1426
2015	78	1426
2016	94	1426
2017	105	1426
2018	112	1430
2019	28	1426
2020	7	1430
2021	16	1430
2022	45	1430
2023	1	1433
2024	7	1433
2025	8	1433
2026	12	1433
2027	6	1426
2028	7	1426
2029	27	1426
2030	28	1426
2031	73	1426
2032	78	1426
2033	94	1426
2034	105	1426
2035	28	1426
2036	7	1430
2037	16	1430
2038	45	1430
2039	1	1433
2040	7	1433
2041	8	1433
2042	12	1433
2043	6	1426
2044	7	1426
2045	27	1426
2046	28	1426
2047	73	1426
2048	78	1426
2049	94	1426
2050	105	1426
2051	97	1452
2052	28	1426
2053	7	1430
2054	16	1430
2055	45	1430
2056	1	1433
2057	7	1433
2058	8	1433
2059	12	1433
2060	6	1426
2061	7	1426
2062	27	1426
2063	28	1426
2064	73	1426
2065	78	1426
2066	94	1426
2067	105	1426
2068	94	1452
2069	6	1456
2070	94	1452
2071	28	1426
2072	7	1430
2073	16	1430
2074	45	1430
2075	1	1433
2076	7	1433
2077	8	1433
2078	12	1433
2079	6	1426
2080	7	1426
2081	27	1426
2082	28	1426
2083	73	1426
2084	78	1426
2085	94	1426
2086	105	1426
2087	66	1430
2088	6	1426
2089	7	1426
2090	27	1426
2091	28	1426
2092	73	1426
2093	78	1426
2094	94	1426
2095	105	1426
2096	6	1426
2097	7	1426
2098	27	1426
2099	28	1426
2100	73	1426
2101	78	1426
2102	94	1426
2103	105	1426
2104	112	1430
2105	28	1426
2106	7	1430
2107	16	1430
2108	45	1430
2109	1	1433
2110	7	1433
2111	8	1433
2112	12	1433
2113	13	1508
2114	6	1426
2115	7	1426
2116	27	1426
2117	28	1426
2118	73	1426
2119	78	1426
2120	94	1426
2121	105	1426
2122	6	1426
2123	7	1426
2124	27	1426
2125	28	1426
2126	73	1426
2127	78	1426
2128	94	1426
2129	105	1426
2130	3	1640
2131	6	1640
2132	7	1640
2133	8	1640
2134	13	1640
2135	16	1640
2136	17	1640
2137	6	1426
2138	7	1426
2139	27	1426
2140	28	1426
2141	73	1426
2142	78	1426
2143	94	1426
2144	105	1426
2145	28	1426
2146	7	1430
2147	16	1430
2148	45	1430
2149	1	1433
2150	7	1433
2151	8	1433
2152	12	1433
2153	6	1426
2154	7	1426
2155	27	1426
2156	28	1426
2157	73	1426
2158	78	1426
2159	94	1426
2160	105	1426
2161	28	1426
2162	7	1430
2163	16	1430
2164	45	1430
2165	1	1433
2166	7	1433
2167	8	1433
2168	12	1433
2169	6	1426
2170	7	1426
2171	27	1426
2172	28	1426
2173	73	1426
2174	78	1426
2175	94	1426
2176	105	1426
2177	51	1430
2178	3	1456
2179	10	1538
2180	28	1426
2181	7	1430
2182	16	1430
2183	45	1430
2184	1	1433
2185	7	1433
2186	8	1433
2187	12	1433
2188	6	1426
2189	7	1426
2190	27	1426
2191	28	1426
2192	73	1426
2193	78	1426
2194	94	1426
2195	105	1426
2196	112	1430
2197	28	1426
2198	7	1430
2199	16	1430
2200	45	1430
2201	1	1433
2202	7	1433
2203	8	1433
2204	12	1433
2205	6	1426
2206	7	1426
2207	27	1426
2208	28	1426
2209	73	1426
2210	78	1426
2211	94	1426
2212	105	1426
2213	28	1426
2214	7	1430
2215	16	1430
2216	45	1430
2217	1	1433
2218	7	1433
2219	8	1433
2220	12	1433
2221	6	1426
2222	7	1426
2223	27	1426
2224	28	1426
2225	73	1426
2226	78	1426
2227	94	1426
2228	105	1426
2229	9	2306
2230	6	1456
2231	97	1452
2232	9	2306
2233	9	2306
2234	28	1426
2235	7	1430
2236	16	1430
2237	45	1430
2238	1	1433
2239	7	1433
2240	8	1433
2241	12	1433
2242	6	1426
2243	7	1426
2244	27	1426
2245	28	1426
2246	73	1426
2247	78	1426
2248	94	1426
2249	105	1426
2250	9	2306
2251	9	2306
2252	9	2306
2253	6	1456
2254	97	1452
2255	28	1426
2256	7	1430
2257	16	1430
2258	45	1430
2259	1	1433
2260	7	1433
2261	8	1433
2262	12	1433
2263	6	1426
2264	7	1426
2265	27	1426
2266	28	1426
2267	73	1426
2268	78	1426
2269	94	1426
2270	105	1426
2271	94	1452
2272	94	1452
2273	112	1430
2274	28	1426
2275	7	1430
2276	16	1430
2277	45	1430
2278	1	1433
2279	7	1433
2280	8	1433
2281	12	1433
2282	6	1426
2283	7	1426
2284	27	1426
2285	28	1426
2286	73	1426
2287	78	1426
2288	94	1426
2289	105	1426
2290	28	1426
2291	7	1430
2292	16	1430
2293	45	1430
2294	1	1433
2295	7	1433
2296	8	1433
2297	12	1433
2298	6	1426
2299	7	1426
2300	27	1426
2301	28	1426
2302	73	1426
2303	78	1426
2304	94	1426
2305	105	1426
2306	51	1430
2307	3	1456
2308	10	1538
2309	28	1426
2310	7	1430
2311	16	1430
2312	45	1430
2313	1	1433
2314	7	1433
2315	8	1433
2316	12	1433
2317	6	1426
2318	7	1426
2319	27	1426
2320	28	1426
2321	73	1426
2322	78	1426
2323	94	1426
2324	105	1426
2325	51	1430
2326	3	1456
2327	10	1538
2328	28	1426
2329	7	1430
2330	16	1430
2331	45	1430
2332	1	1433
2333	7	1433
2334	8	1433
2335	12	1433
2336	6	1426
2337	7	1426
2338	27	1426
2339	28	1426
2340	73	1426
2341	78	1426
2342	94	1426
2343	105	1426
2344	28	1426
2345	7	1430
2346	16	1430
2347	45	1430
2348	1	1433
2349	7	1433
2350	8	1433
2351	12	1433
2352	6	1426
2353	7	1426
2354	27	1426
2355	28	1426
2356	73	1426
2357	78	1426
2358	94	1426
2359	105	1426
2360	97	1452
2361	112	1430
2362	28	1426
2363	7	1430
2364	16	1430
2365	45	1430
2366	1	1433
2367	7	1433
2368	8	1433
2369	12	1433
2370	6	1426
2371	7	1426
2372	27	1426
2373	28	1426
2374	73	1426
2375	78	1426
2376	94	1426
2377	105	1426
2378	112	1430
2379	28	1426
2380	7	1430
2381	16	1430
2382	45	1430
2383	1	1433
2384	7	1433
2385	8	1433
2386	12	1433
2387	6	1426
2388	7	1426
2389	27	1426
2390	28	1426
2391	73	1426
2392	78	1426
2393	94	1426
2394	105	1426
2395	66	1430
2396	28	1426
2397	7	1430
2398	16	1430
2399	45	1430
2400	1	1433
2401	7	1433
2402	8	1433
2403	12	1433
2404	6	1426
2405	7	1426
2406	27	1426
2407	28	1426
2408	73	1426
2409	78	1426
2410	94	1426
2411	105	1426
2412	112	1430
2413	28	1426
2414	7	1430
2415	16	1430
2416	45	1430
2417	1	1433
2418	7	1433
2419	8	1433
2420	12	1433
2421	6	1426
2422	7	1426
2423	27	1426
2424	28	1426
2425	73	1426
2426	78	1426
2427	94	1426
2428	105	1426
2429	112	1430
2430	28	1426
2431	7	1430
2432	16	1430
2433	45	1430
2434	1	1433
2435	7	1433
2436	8	1433
2437	12	1433
2438	6	1426
2439	7	1426
2440	27	1426
2441	28	1426
2442	73	1426
2443	78	1426
2444	94	1426
2445	105	1426
2446	51	1430
2447	3	1456
2448	10	1538
2449	28	1426
2450	7	1430
2451	16	1430
2452	45	1430
2453	1	1433
2454	7	1433
2455	8	1433
2456	12	1433
2457	6	1426
2458	7	1426
2459	27	1426
2460	28	1426
2461	73	1426
2462	78	1426
2463	94	1426
2464	105	1426
2465	112	1430
2466	28	1426
2467	7	1430
2468	16	1430
2469	45	1430
2470	1	1433
2471	7	1433
2472	8	1433
2473	12	1433
2474	6	1426
2475	7	1426
2476	27	1426
2477	28	1426
2478	73	1426
2479	78	1426
2480	94	1426
2481	105	1426
2482	112	1430
2483	28	1426
2484	7	1430
2485	16	1430
2486	45	1430
2487	1	1433
2488	7	1433
2489	8	1433
2490	12	1433
2491	6	1426
2492	7	1426
2493	27	1426
2494	28	1426
2495	73	1426
2496	78	1426
2497	94	1426
2498	105	1426
2499	28	1426
2500	7	1430
2501	16	1430
2502	45	1430
2503	1	1433
2504	7	1433
2505	8	1433
2506	12	1433
2507	6	1426
2508	7	1426
2509	27	1426
2510	28	1426
2511	73	1426
2512	78	1426
2513	94	1426
2514	105	1426
2515	66	1430
2516	112	1430
2517	28	1426
2518	7	1430
2519	16	1430
2520	45	1430
2521	1	1433
2522	7	1433
2523	8	1433
2524	12	1433
2525	6	1426
2526	7	1426
2527	27	1426
2528	28	1426
2529	73	1426
2530	78	1426
2531	94	1426
2532	105	1426
2533	28	1426
2534	7	1430
2535	16	1430
2536	45	1430
2537	1	1433
2538	7	1433
2539	8	1433
2540	12	1433
2541	11	1785
2542	6	1426
2543	7	1426
2544	27	1426
2545	28	1426
2546	73	1426
2547	78	1426
2548	94	1426
2549	105	1426
2550	11	1785
2551	28	1426
2552	7	1430
2553	16	1430
2554	45	1430
2555	1	1433
2556	7	1433
2557	8	1433
2558	12	1433
2559	6	1426
2560	7	1426
2561	27	1426
2562	28	1426
2563	73	1426
2564	78	1426
2565	94	1426
2566	105	1426
2567	6	1426
2568	7	1426
2569	27	1426
2570	28	1426
2571	73	1426
2572	78	1426
2573	94	1426
2574	105	1426
2575	19	1508
2576	3	1640
2577	6	1640
2578	7	1640
2579	8	1640
2580	13	1640
2581	16	1640
2582	17	1640
2583	6	1426
2584	7	1426
2585	27	1426
2586	28	1426
2587	73	1426
2588	78	1426
2589	94	1426
2590	105	1426
2591	28	1426
2592	7	1430
2593	16	1430
2594	45	1430
2595	1	1433
2596	7	1433
2597	8	1433
2598	12	1433
2599	6	1426
2600	7	1426
2601	27	1426
2602	28	1426
2603	73	1426
2604	78	1426
2605	94	1426
2606	105	1426
2607	1	1713
2608	112	1430
2609	28	1426
2610	7	1430
2611	16	1430
2612	45	1430
2613	1	1433
2614	7	1433
2615	8	1433
2616	12	1433
